Team,G,PA,HR,R,RBI,SB,BBrate,Krate,ISO,BABIP,AVG,OBP,SLG,wOBA,wRCplus,WAR,Year,Temp,roof_status,Wind,Ocean,Direction,Deepest,turf_status,Elevation Above Sea Level (ft),Average Humidity,Average Summer Temperature (degrees F),fair_area,foul_area
CHC,2273,6201,189,747,717,60,9.2%,18.9%,0.163,0.293,0.257,0.32899999999999996,0.42,0.32799999999999996,87,10.3,1999,68.3,0,10.2,684,north northeast,400.0,0.0,135.0,71%,82.0,107.8,18.6
LAA,1797,6132,158,711,673,71,8.3%,16.7%,0.139,0.28600000000000003,0.256,0.322,0.395,0.316,80,9.8,1999,75.6,0,6.3,20,northeast,400.0,0.0,148.0,55%,81.0,106.7,21.5
WSN,2385,6151,163,718,680,70,7.1%,15.3%,0.162,0.292,0.265,0.32299999999999995,0.42700000000000005,0.326,86,7.6,1999,76.9,2,8.9,262,north,404.0,1.0,95.0,77.6%,77.6,112.5,27.5
TBR,1833,6272,145,772,728,73,8.7%,16.6%,0.13699999999999998,0.312,0.27399999999999997,0.34299999999999997,0.41100000000000003,0.33299999999999996,92,6.8,1999,72.0,1,0.0,7,northeast,412.0,1.0,43.0,63%,90.0,108.9,25.3
MIN,1957,6124,105,686,643,118,8.2%,16.0%,0.12,0.301,0.264,0.32799999999999996,0.384,0.315,79,1.3,1999,71.3,1,0.0,1016,east,408.0,1.0,840.0,59%,80.0,107.5,34.3
COL,2282,6369,223,906,863,70,8.0%,13.6%,0.184,0.304,0.28800000000000003,0.348,0.47200000000000003,0.354,84,1.3,1999,73.7,0,6.5,947,north,424.0,0.0,5183.0,37.00%,86.0,119.2,24.9
SFG,2123,6418,226,925,889,79,11.0%,16.1%,0.19399999999999998,0.303,0.278,0.36200000000000004,0.47200000000000003,0.359,112,34.7,2000,64.3,0,11.8,1,east,415.0,0.0,415.0,68%,67.0,110.8,25.5
LAA,1839,6373,236,864,837,93,9.5%,16.1%,0.193,0.303,0.28,0.35200000000000004,0.47200000000000003,0.35600000000000004,106,31.3,2000,75.6,0,6.3,20,northeast,400.0,0.0,148.0,55%,81.0,106.7,21.5
STL,2196,6369,235,887,841,87,10.6%,19.7%,0.185,0.308,0.27,0.35600000000000004,0.455,0.353,105,31.2,2000,78.5,0,7.1,689,south southeast,400.0,0.0,436.0,56%,88.0,112.1,22.7
SEA,1985,6444,198,907,869,122,12.0%,16.7%,0.172,0.299,0.26899999999999996,0.361,0.442,0.35200000000000004,107,28.8,2000,67.2,2,2.5,1,northeast,405.0,0.0,14.0,73%,70.0,106.1,24.3
CLE,1930,6512,221,950,889,113,10.5%,16.2%,0.182,0.318,0.28800000000000003,0.36700000000000005,0.47,0.364,109,27.1,2000,69.9,0,10.3,373,north,410.0,0.0,653.0,61%,81.0,105.4,21.9
CHW,1791,6410,216,978,926,119,9.2%,15.0%,0.184,0.309,0.28600000000000003,0.35600000000000004,0.47,0.35700000000000004,106,25.9,2000,71.0,0,11.1,680,southeast,400.0,0.0,596.0,71%,82.0,105.3,25.0
ATL,2039,6275,179,810,758,148,9.5%,16.1%,0.157,0.302,0.271,0.34600000000000003,0.429,0.33899999999999997,96,24.5,2000,80.2,0,7.9,267,north northeast,401.0,0.0,1001.0,55%,88.0,112.1,23.1
CIN,2313,6373,200,825,794,100,8.8%,15.6%,0.17300000000000001,0.299,0.27399999999999997,0.34299999999999997,0.447,0.341,94,24.3,2000,74.3,0,7.6,474,east,404.0,1.0,683.0,57%,84.0,110.4,23.3
LAD,2057,6312,211,798,756,95,10.6%,17.2%,0.174,0.28300000000000003,0.257,0.341,0.431,0.337,99,23.7,2000,74.2,0,6.0,16,north northeast,395.0,0.0,522.0,52%,81.0,111.1,19.3
NYM,2345,6328,198,807,761,66,10.7%,16.4%,0.16699999999999998,0.29,0.263,0.34600000000000003,0.43,0.33899999999999997,99,23.5,2000,72.8,0,12.0,14,east northeast,410.0,0.0,13.0,63%,83.0,111.3,21.9
HOU,2303,6444,249,938,900,114,10.4%,17.5%,0.19899999999999998,0.305,0.278,0.361,0.47700000000000004,0.361,105,23.0,2000,74.0,2,7.8,47,east,436.0,0.0,38.0,75%,90.0,107.0,21.0
OAK,2066,6432,239,947,908,40,11.7%,18.0%,0.188,0.3,0.27,0.36,0.45799999999999996,0.35600000000000004,109,22.8,2000,65.6,0,11.1,1,east northeast,400.0,0.0,-21.0,75%,72.0,108.7,40.7
